language;text;level
"en";"Hello";1
"en";"Goodbye";1
"en";"Thank you";1
"en";"Please";1
"en";"Yes";1
"en";"This is a simple sentence.";1
"en";"The cat is on the mat.";1
"en";"The quick brown fox jumps over the lazy dog.";2
"en";"She enjoys reading books in her free time.";2
"en";"Complex sentences often include subordinate clauses.";3
"en";"Complex sentences often include subordinate clauses.";3
"en";"Learning a new language can be challenging but rewarding.";3
"en";"Advanced texts use sophisticated vocabulary and structures.";4
"en";"Understanding abstract concepts requires critical thinking.";4
"en";"Philosophical discussions often involve nuanced arguments.";5
"en";"Scientific papers demand precision and clarity in expression.";5
"en";"Children love playing in the park.";1
"en";"Apples and bananas are healthy snacks.";1
"en";"The sun rises in the east and sets in the west.";2
"en";"She is preparing for her upcoming exams.";2
"en";"Writing essays helps improve critical thinking skills.";3
"en";"Many students struggle with time management.";3
"en";"Research papers require extensive background study.";4
"en";"Analyzing data is a key skill in scientific research.";4
"en";"Quantum mechanics explores the behavior of particles.";5
"en";"Artificial intelligence is transforming industries.";5
"en";"Birds build nests to protect their eggs.";1
"en";"Rainbows appear after it rains and the sun shines.";1
"en";"Mountains are formed by tectonic plate movements.";2
"en";"She is learning to play the piano.";2
"en";"Understanding grammar rules is essential for writing.";3
"en";"Group discussions enhance collaborative learning.";3
"en";"Advanced algorithms solve complex problems.";4
"en";"Critical reviews help refine academic work.";4
"en";"Philosophy examines the nature of existence.";5
"en";"Space exploration expands human knowledge.";5
"en";"Frogs live in ponds and eat insects.";1
"en";"Books are a great source of knowledge.";1
"en";"Plants need sunlight and water to grow.";2
"en";"She enjoys painting landscapes in her free time.";2
"en";"Learning history helps us understand the present.";3
"en";"Debates encourage logical reasoning and articulation.";3
"en";"Scientific journals publish peer-reviewed articles.";4
"en";"Statistical analysis is crucial in research.";4
"en";"Genetic engineering raises ethical questions.";5
"en";"Climate change impacts ecosystems worldwide.";5
"en";"Fish swim in water and breathe through gills.";1
"en";"Stars twinkle in the night sky.";1
"en";"Rivers flow from mountains to oceans.";2
"en";"She is practicing yoga to stay healthy.";2
"en";"Understanding poetry requires interpretation skills.";3
"en";"Case studies provide real-world learning experiences.";3
"en";"Advanced mathematics is used in engineering.";4
"en";"Peer feedback improves the quality of work.";4
"en";"Philosophical theories shape modern thought.";5
"en";"Space telescopes capture distant galaxies.";5
"en";"Bees collect nectar to make honey.";1
"en";"Trees provide shade and oxygen.";1
"en";"Volcanoes erupt when magma reaches the surface.";2
"en";"She is learning to cook traditional recipes.";2
"en";"Studying geography helps us understand the Earth.";3
"en";"Workshops provide hands-on learning opportunities.";3
"en";"Advanced chemistry explores molecular interactions.";4
"en";"Editing drafts improves the final output.";4
"en";"Artificial neural networks mimic the human brain.";5
"en";"Renewable energy sources are vital for sustainability.";5
"en";"Butterflies have colorful wings.";1
"en";"Clouds are made of tiny water droplets.";1
"en";"Deserts are dry and receive little rainfall.";2
"en";"She is training for a marathon.";2
"en";"Understanding literature enhances cultural awareness.";3
"en";"Seminars provide insights into specialized topics.";3
"en";"Advanced physics explains the laws of nature.";4
"en";"Collaborative projects foster teamwork.";4
"en";"Philosophical debates question fundamental beliefs.";5
"en";"Scientific discoveries drive technological progress.";5
"en";"Ants work together to build their colonies.";1
"en";"Rain helps plants grow.";1
"en";"Forests are home to many animals.";2
"en";"She is learning to play chess.";2
"en";"Understanding economics helps in decision-making.";3
"en";"Presentations improve public speaking skills.";3
"en";"Advanced biology studies cellular processes.";4
"en";"Peer-reviewed research ensures credibility.";4
"en";"Philosophical texts explore human consciousness.";5
"en";"Space missions require precise calculations.";5
"en";"Birds migrate to warmer regions in winter.";1
"en";"Fruits are rich in vitamins.";1
"en";"Earthquakes occur due to tectonic movements.";2
"en";"She is practicing her dance routine.";2
"en";"Learning languages broadens communication skills.";3
"en";"Case studies analyze real-world scenarios.";3
"en";"Advanced robotics integrates multiple disciplines.";4
"en";"Critical thinking is essential in problem-solving.";4
"en";"Philosophical inquiries address ethical dilemmas.";5
"en";"Scientific advancements improve healthcare.";5
"de"; "Das ist ein einfacher Satz.";1
"de"; "Die Katze sitzt auf der Matte.";1
"de"; "Der schnelle braune Fuchs springt über den faulen Hund.";2
"de"; "Sie liest gerne Bücher in ihrer Freizeit.";2
"de"; "Komplexe Sätze enthalten oft Nebensätze.";3
"de"; "Eine neue Sprache zu lernen kann herausfordernd, aber lohnend sein.";3
"de"; "Fortgeschrittene Texte verwenden anspruchsvokabular und komplexe Strukturen.";4
"de"; "Abstrakte Konzepte zu verstehen erfordert kritisches Denken.";4
"de"; "Philosophische Diskussionen beinhalten oft nuancierte Argumente.";5
"de"; "Wissenschaftliche Arbeiten erfordern Präzision und Klarheit im Ausdruck.";5
"de"; "Kinder spielen gerne im Park.";1
"de"; "Äpfel und Bananen sind gesunde Snacks.";1
"de"; "Die Sonne geht im Osten auf und im Westen unter.";2
"de"; "Sie bereitet sich auf ihre bevorstehenden Prüfungen vor.";2
"de"; "Das Schreiben von Aufsätzen verbessert das kritische Denken.";3
"de"; "Viele Schüler haben Schwierigkeiten mit dem Zeitmanagement.";3
"de"; "Forschungsarbeiten erfordern umfangreiche Hintergrundstudien.";4
"de"; "Die Analyse von Daten ist eine Schlüsselkompetenz in der Forschung.";4
"de"; "Die Quantenmechanik untersucht das Verhalten von Teilchen.";5
"de"; "Künstliche Intelligenz verändert Industrien.";5
"de"; "Vögel bauen Nester, um ihre Eier zu schützen.";1
"de"; "Regenbögen erscheinen, wenn es regnet und die Sonne scheint.";1
"de"; "Berge entstehen durch Bewegungen der tektonischen Platten.";2
"de"; "Sie lernt, Klavier zu spielen.";2
"de"; "Grammatikregeln zu verstehen ist essenziell für das Schreiben.";3
"de"; "Gruppendiskussionen fördern kollaboratives Lernen.";3
"de"; "Fortgeschrittene Algorithmen lösen komplexe Probleme.";4
"de"; "Kritische Rezensionen helfen, akademische Arbeiten zu verfeinern.";4
"de"; "Die Philosophie untersucht die Natur der Existenz.";5
"de"; "Die Erforschung des Weltraums erweitert das menschliche Wissen.";5
"de"; "Frösche leben in Teichen und fressen Insekten.";1
"de"; "Bücher sind eine großartige Wissensquelle.";1
"de"; "Pflanzen brauchen Sonnenlicht und Wasser, um zu wachsen.";2
"de"; "Sie malt gerne Landschaften in ihrer Freizeit.";2
"de"; "Geschichte zu lernen hilft uns, die Gegenwart zu verstehen.";3
"de"; "Debatten fördern logisches Denken und Ausdrucksfähigkeit.";3
"de"; "Wissenschaftliche Zeitschriften veröffentlichen begutachtete Artikel.";4
"de"; "Statistische Analysen sind in der Forschung entscheidend.";4
"de"; "Gentechnik wirft ethische Fragen auf.";5
"de"; "Der Klimawandel beeinflusst Ökosysteme weltweit.";5
"de"; "Fische schwimmen im Wasser und atmen durch Kiemen.";1
"de"; "Sterne funkeln am Nachthimmel.";1
"de"; "Flüsse fließen von den Bergen zu den Ozeanen.";2
"de"; "Sie übt Yoga, um gesund zu bleiben.";2
"de"; "Das Verständnis von Poesie erfordert Interpretationsfähigkeiten.";3
"de"; "Fallstudien bieten praxisnahe Lernerfahrungen.";3
"de"; "Fortgeschrittene Mathematik wird in der Technik verwendet.";4
"de"; "Feedback von Kollegen verbessert die Qualität der Arbeit.";4
"de"; "Philosophische Theorien prägen das moderne Denken.";5
"de"; "Teleskope im Weltraum erfassen ferne Galaxien.";5
"fr"; "C'est une phrase simple.";1
"fr";"Le chat est sur le tapis.";1
"fr";"Le renard brun rapide saute par-dessus le chien paresseux.";2
